,x,y,theta
46,7.520598726437629,8.869816070927623,2.9183809361265687
47,7.47631710260709,8.87485219116409,2.9411437317991473
48,7.430134459867161,8.876112169176823,2.9404987894496712
49,7.392241369306543,8.889051166754962,2.9270070285359733
50,7.321946921957239,8.890035841800144,2.9474663048113903
51,7.257547651146101,8.909967674996773,2.97001799996932
52,7.2122862926431965,8.924787739671018,2.991170180335677
53,7.190412892134541,8.93600673083474,2.9952680050149314
54,7.150207564637865,8.931405114599821,3.0046753727157554
55,7.084234204087646,8.92525247814773,3.0186399345165493
56,7.027409892607854,8.916084589210572,3.0282425373600574
57,6.945798393733385,8.91207588882736,3.0295696849377527
58,6.8968082319019945,8.917123886838189,3.015737687193084
59,6.87197331049281,8.921021390161428,3.015633032156733
60,6.815427992593436,8.926126339255061,2.9993572363526666
61,6.748886043232972,8.93334638894149,3.011895609602716
62,6.686682374891908,8.943698601050974,2.9989465459637152
63,6.584586323895373,8.954911600425971,3.014282095310577
64,6.473988164231051,8.952435541239673,3.031580641676328
65,6.4322918779578435,8.968285539644619,3.046562371552884
66,6.390687102296903,8.998437573159656,3.0685821905161017
67,6.374116933142476,9.019271661055177,3.0748267037632235
68,6.337482492354804,9.00788696559742,3.082112412658988
69,6.2678305088666155,9.024647190302366,3.0759344536527187
70,6.207281582971938,9.042224996782364,3.0755997471992003
71,6.164154611959332,9.053006193116598,3.0634771501852938
72,6.114804111018523,9.066056427033043,3.067230087884393
73,6.0779791565505485,9.071017697288426,3.076963704536961
74,5.978963954605368,9.075669426669911,3.066753313521662
75,5.932371857385142,9.09027987875972,3.076914366920645
76,5.824287551721104,9.077343653698343,3.089046993317474
77,5.8046442556248765,9.086468402696843,3.080330140763292
78,5.776046579704945,9.09376809072996,3.0821602415814358
79,5.7292056446029775,9.10317142961949,3.068561835837602
80,5.653870617552095,9.120175835150837,3.0770221020698627
81,5.605212897146517,9.125599494848592,3.0792176411381997
82,5.565802285757327,9.108022516368454,3.0873525779597943
83,5.569892361310966,9.08653004705245,3.102645687623862
84,5.572415952984457,9.05041168135758,3.088604356246232
85,5.491867161328081,9.049325336664205,3.097755905022136
86,5.44196064262112,9.040204552049667,3.1063179780648205
87,5.349073459190085,9.037903712759812,3.1199713888502862
88,5.322108957919789,9.0328343461904,3.105815307853829
89,5.271591634191745,9.038887562599964,3.0946272991359147
90,5.175690528674831,9.046952555745904,3.0958520046784783
91,5.128757968020396,9.03971674682652,3.0914047200835095
92,5.052968076608138,9.04412007633354,3.0942663433884614
93,4.993846763415232,9.038170206456691,3.105847943166514
94,4.900971016342556,9.038220370755969,3.118711874429264
95,4.809406784720571,9.050260817068807,3.1324760073571087
96,4.730262763937502,9.072591227066235,3.1398109379383654
97,4.65672203754843,9.056584466013593,3.113247817953972
98,4.619855840061825,9.047629138726702,3.122018928641095
99,4.559633224389956,9.04330829454522,3.1212342117120104
100,4.494105476892861,9.07118021127681,-3.140850092067359
101,4.403287328794408,9.07650494352665,-3.125479402786911
102,4.293656901464765,9.09596619328015,-3.13427685834963
103,4.266274651259608,9.081156886296942,3.1197844487873723
104,4.249905807907733,9.070291134069427,3.1167875531936313
105,4.215742988992432,9.077059082958309,3.1051113588023482
106,4.152019719669194,9.080323387564377,3.110609518519323
107,4.040201947805557,9.08403287105281,3.1123984166553362
108,3.9951144588283283,9.073183388139181,3.1083754334828764
109,3.9545964105999487,9.06302181780746,3.108177203449752
110,3.946679635237104,9.05958417560348,3.123194877915093
111,3.88820282499617,9.058488091927956,3.1035504101449116
112,3.8174850128049487,9.053519347680565,3.1141334438658688
113,3.733815945732924,9.063942126567763,3.1321438768349874
114,3.6979717702139587,9.059181269245391,3.1146002523301024
115,3.6544519312688313,9.055986964823674,3.114427743909624
116,3.613521752171679,9.067576208902434,3.1286657563948626
117,3.5157646849743434,9.09292938141135,-3.136409582142673
118,3.4298853493783446,9.11082954436725,-3.127378428609671
119,3.4288279961577715,9.09546822982894,-3.123727827801013
120,3.371708033439164,9.107483591940921,-3.1332192953027893
121,3.34966508491366,9.093269582536518,3.1254589527062353
122,3.271189763452827,9.078968247659608,3.1202427775101724
123,3.2250747043694425,9.081322721622437,3.101119088396542
124,3.141375711864577,9.077186838379081,3.1044213567123076
125,3.0573735665702424,9.069423040918071,3.115398700410512
126,2.9832658764101048,9.08320055353791,3.129247245265453
127,2.969464942932231,9.10604676288118,-3.135556781586059
128,2.938995829498172,9.121238695676878,-3.130398842992018
129,2.8849442017053772,9.133778182416862,-3.1263250270693077
130,2.7936347716850736,9.118470805857667,-3.121548625387567
131,2.6508020666937817,9.094934701007489,-3.116119646770753
132,2.5671037411163486,9.111845082271458,-3.1333642471770404
133,2.499184051636261,9.106355919704896,3.129702869948902
134,2.395727375769808,9.090763832494627,3.106280774044231
135,2.3587411695944613,9.076598975917948,3.1118885211974088
136,2.3000355420892924,9.071540098265428,3.1090078119931195
137,2.2518551594146996,9.065134474571234,3.118167145468838
138,2.1369553899662614,9.067459904017015,3.1038307020747182
139,2.1302560442710385,9.072896555902664,3.102607312483508
140,2.057411828376019,9.071151068498919,3.1134077082226876
141,2.007376470392035,9.08378117434278,3.1342215226105057
142,1.9630784873267937,9.101440105504238,3.1366336701789
143,1.8733709034462982,9.115819075501559,-3.1273748562953316
144,1.794832100571853,9.12646123830036,-3.1405080806644166
145,1.7812013228054608,9.109196087131856,3.1174358709311583
146,1.743892450956955,9.105163753338315,3.126669306530379
147,1.7214251938748655,9.101420515372256,3.1261533975132187
148,1.6707009797703,9.086832928891791,3.108214793487091
149,1.5708784139785354,9.081348788707883,3.089677033491659
150,1.490824496208391,9.089409475101784,3.0955436836422243
151,1.4725872620040523,9.097524159604221,3.0998359454203874
152,1.3709550918562292,9.095243415376277,3.1042553447182377
153,1.2690625340124073,9.10063960395308,3.1253149850084596
154,1.1489044295979893,9.123591383487662,-3.1363631561652277
155,1.0979606551294228,9.104754574156727,-3.124544722461585
156,1.0826514338096294,9.115228556925716,-3.1338144314977736
157,1.0475377119107543,9.125347750021298,3.140360692608018
158,0.947818482840403,9.13915542814564,-3.1392525814558447
159,0.907832655743462,9.149815006668819,-3.127968236662671
160,0.8317299441072284,9.118656083127412,-3.1200343583532315
161,0.7755810243939095,9.104994877479125,-3.123692950330394
162,0.7257347277148262,9.085730874657465,-3.113636638058674
163,0.6552459881841981,9.084715547562913,-3.129608695630644
164,0.5781312825175582,9.100153373018767,-3.1372365943196527
165,0.5617415372691684,9.11961349511626,-3.1333131314702807
166,0.5349491638172537,9.136782426703412,-3.130527675592694
167,0.45607566242229247,9.135811412983989,3.1349546416621545
168,0.3828084859673478,9.147317272361807,-3.129034513908309
169,0.2907848723215698,9.153444217275892,-3.1394155174129748
170,0.2454184460165955,9.153824061575236,-3.1251918383340644
171,0.19263988392331238,9.13094841914794,-3.115867828350524
172,0.06690813447679082,9.119967926803668,-3.121097912637343
173,0.03958284217103853,9.123377640640527,-3.128147241204209
174,0.019843068531851683,9.138264267706077,-3.1325846215949977
175,-0.0029787669777095005,9.147228775802567,-3.1305696687761277
176,-0.06765937188813224,9.158486631768534,-3.1379163961621495
177,-0.15604817145584776,9.130979574861074,3.121778062432204
178,-0.25763922320008625,9.10309510410266,3.115299093808806
179,-0.2732409333134213,9.093572289747476,3.1041960159282787
180,-0.3449727661036417,9.104414471534264,3.135682271673344
181,-0.3984543550994907,9.11473874826625,3.1374772994240305
182,-0.4961187642570048,9.13172620206911,3.1394437041887406
183,-0.558702255630698,9.130110676043216,3.1299678971678584
184,-0.6100919137793084,9.105040703005269,3.110219437666483
185,-0.6471042872923091,9.109101823305767,3.111066172451556
186,-0.6829551118082248,9.110534092425766,3.1118124260627265
187,-0.7450446734155051,9.113077480563962,3.1015637644173846
188,-0.8097127196770213,9.099064127040434,3.088301691492498
189,-0.9177379745206895,9.08401217882779,3.0828351227919017
190,-1.0281309106064818,9.118156853292751,3.135423178269791
191,-1.1003261727825324,9.109481119519657,-3.125197667790573
192,-1.1901043248314453,9.12484095833108,-3.130043350791428
193,-1.2587263833061129,9.139214165729934,-3.1309558787629257
194,-1.2863817690832235,9.140989013800466,-3.126750748146377
195,-1.3450099365291248,9.147121850806574,-3.125535578722984
196,-1.4099780591398696,9.156802141707923,-3.1317039089760823
197,-1.4873043213987434,9.166632031682333,-3.1339149100264767
198,-1.5407821171672371,9.17890623888672,-3.129159693385676
199,-1.5701214596982305,9.1836127988672,-3.128075229294755
200,-1.6293755431080235,9.1920950424537,-3.125097831923164
201,-1.6713067405868156,9.19029532653187,-3.1268285768918576
202,-1.7448674332580723,9.176733814409854,-3.1216970985729326
203,-1.8276361648718962,9.161920245730911,-3.1216811771491355
204,-1.8515090498156617,9.155731529803216,-3.123389848104847
205,-1.9086426413238422,9.140916708638514,-3.1217310047812057
206,-1.950164327454225,9.135154884036671,-3.1252466633623817
207,-2.0171796742109382,9.133817043649174,-3.1256298543317484
208,-2.0841384524879234,9.115703788962229,-3.1104346086539665
